"","Gas","EV","poblacion","Pob/Gas","Pob/EV","Vías","Vías/EV","salario"
"Gas",1,0.736068337163737,0.88494846195523,0.0214250393808152,0.190347453766634,0.621900906945055,-0.0465237144856988,-0.224917874837589
"EV",0.736068337163737,1,0.882230168580149,0.414965276420428,-0.207681481798292,0.242736304055006,-0.437136963849086,0.113569942760773
"poblacion",0.88494846195523,0.882230168580149,1,0.442996041639741,0.148762873488317,0.313199266143844,-0.351606335445072,0.0800542288702159
"Pob/Gas",0.0214250393808152,0.414965276420428,0.442996041639741,1,-0.00962573943866923,-0.44428600405482,-0.68787928258955,0.66134971251196
"Pob/EV",0.190347453766634,-0.207681481798292,0.148762873488317,-0.00962573943866923,1,0.119026031198274,0.381557100809626,-0.352355543712235
"Vías",0.621900906945055,0.242736304055006,0.313199266143844,-0.44428600405482,0.119026031198274,1,0.576512646627058,-0.390517987184995
"Vías/EV",-0.0465237144856988,-0.437136963849086,-0.351606335445072,-0.68787928258955,0.381557100809626,0.576512646627058,1,-0.484603875893399
"salario",-0.224917874837589,0.113569942760773,0.0800542288702159,0.66134971251196,-0.352355543712235,-0.390517987184995,-0.484603875893399,1
